=== TRAIN データセット合成ログ ===
生成時刻: 2025-08-02 17:13:18
目標画像数: 600
背景画像数: 52
利用可能吹き出し数: 84
吹き出し個数範囲: (9, 17)
スケールモード: lognormal
================================================================================

画像 001.png:
  背景ファイル: 001.png
  背景サイズ: 1536x1024
  配置した吹き出し数: 9
  合成成功数: 9
    吹き出し1: 070.png
      元サイズ: 1024x1024
      クロップ後: 711x920
      最終サイズ: 91x118
      配置位置: (163,268)
      スケール値: 0.083
      画面幅比: 0.059
      クロップ効率: 0.624
    吹き出し2: 094.png
      元サイズ: 1024x1024
      クロップ後: 899x647
      最終サイズ: 150x108
      配置位置: (917,414)
      スケール値: 0.102
      画面幅比: 0.098
      クロップ効率: 0.555
    吹き出し3: 079.png
      元サイズ: 1024x1024
      クロップ後: 816x860
      最終サイズ: 156x165
      配置位置: (1193,162)
      スケール値: 0.128
      画面幅比: 0.102
      クロップ効率: 0.669
    吹き出し4: 092.png
      元サイズ: 1024x1024
      クロップ後: 793x669
      最終サイズ: 88x74
      配置位置: (799,942)
      スケール値: 0.065
      画面幅比: 0.057
      クロップ効率: 0.506
    吹き出し5: 057.png
      元サイズ: 1024x1024
      クロップ後: 753x614
      最終サイズ: 90x74
      配置位置: (1015,689)
      スケール値: 0.065
      画面幅比: 0.059
      クロップ効率: 0.441
    吹き出し6: 076.png
      元サイズ: 1024x1024
      クロップ後: 730x779
      最終サイズ: 157x168
      配置位置: (494,753)
      スケール値: 0.130
      画面幅比: 0.102
      クロップ効率: 0.542
    吹き出し7: 099.png
      元サイズ: 1024x1024
      クロップ後: 827x650
      最終サイズ: 183x144
      配置位置: (1075,278)
      スケール値: 0.130
      画面幅比: 0.119
      クロップ効率: 0.513
    吹き出し8: 003.png
      元サイズ: 1024x1024
      クロップ後: 571x750
      最終サイズ: 110x145
      配置位置: (1065,494)
      スケール値: 0.101
      画面幅比: 0.072
      クロップ効率: 0.408
    吹き出し9: 102.png
      元サイズ: 1024x1024
      クロップ後: 816x704
      最終サイズ: 141x121
      配置位置: (1233,511)
      スケール値: 0.105
      画面幅比: 0.092
      クロップ効率: 0.548

画像 002.png:
  背景ファイル: 002.png
  背景サイズ: 1536x1024
  配置した吹き出し数: 17
  合成成功数: 17
    吹き出し1: 017.png
      元サイズ: 1024x1024
      クロップ後: 548x744
      最終サイズ: 101x138
      配置位置: (72,2)
      スケール値: 0.094
      画面幅比: 0.066
      クロップ効率: 0.389
    吹き出し2: 007.png
      元サイズ: 1024x1024
      クロップ後: 678x805
      最終サイズ: 130x155
      配置位置: (898,548)
      スケール値: 0.114
      画面幅比: 0.085
      クロップ効率: 0.521
    吹き出し3: 061.png
      元サイズ: 1024x1024
      クロップ後: 576x734
      最終サイズ: 126x161
      配置位置: (716,94)
      スケール値: 0.114
      画面幅比: 0.082
      クロップ効率: 0.403
    吹き出し4: 035.png
      元サイズ: 1024x1536
      クロップ後: 415x1309
      最終サイズ: 72x228
      配置位置: (311,111)
      スケール値: 0.103
      画面幅比: 0.047
      クロップ効率: 0.345
    吹き出し5: 028.png
      元サイズ: 1024x1024
      クロップ後: 630x913
      最終サイズ: 121x176
      配置位置: (1245,464)
      スケール値: 0.117
      画面幅比: 0.079
      クロップ効率: 0.549
    吹き出し6: 075.png
      元サイズ: 1024x1024
      クロップ後: 775x835
      最終サイズ: 157x169
      配置位置: (993,142)
      スケール値: 0.130
      画面幅比: 0.102
      クロップ効率: 0.617
    吹き出し7: 096.png
      元サイズ: 1024x1024
      クロップ後: 805x715
      最終サイズ: 144x127
      配置位置: (939,882)
      スケール値: 0.108
      画面幅比: 0.094
      クロップ効率: 0.549
    吹き出し8: 057.png
      元サイズ: 1024x1024
      クロップ後: 753x614
      最終サイズ: 157x128
      配置位置: (1026,457)
      スケール値: 0.114
      画面幅比: 0.102
      クロップ効率: 0.441
    吹き出し9: 039.png
      元サイズ: 1024x1024
      クロップ後: 801x843
      最終サイズ: 133x140
      配置位置: (702,743)
      スケール値: 0.110
      画面幅比: 0.087
      クロップ効率: 0.644
    吹き出し10: 011.png
      元サイズ: 1024x1024
      クロップ後: 563x855
      最終サイズ: 104x159
      配置位置: (530,807)
      スケール値: 0.103
      画面幅比: 0.068
      クロップ効率: 0.459
    吹き出し11: 081.png
      元サイズ: 1024x1024
      クロップ後: 733x640
      最終サイズ: 90x79
      配置位置: (1429,469)
      スケール値: 0.067
      画面幅比: 0.059
      クロップ効率: 0.447
    吹き出し12: 093.png
      元サイズ: 1024x1024
      クロップ後: 820x706
      最終サイズ: 175x151
      配置位置: (866,336)
      スケール値: 0.130
      画面幅比: 0.114
      クロップ効率: 0.552
    吹き出し13: 046.png
      元サイズ: 1024x1024
      クロップ後: 832x424
      最終サイズ: 206x104
      配置位置: (486,330)
      スケール値: 0.117
      画面幅比: 0.134
      クロップ効率: 0.336
    吹き出し14: 078.png
      元サイズ: 1024x1024
      クロップ後: 729x714
      最終サイズ: 144x141
      配置位置: (1267,33)
      スケール値: 0.114
      画面幅比: 0.094
      クロップ効率: 0.496
    吹き出し15: 016.png
      元サイズ: 1024x1024
      クロップ後: 480x687
      最終サイズ: 74x107
      配置位置: (1407,200)
      スケール値: 0.071
      画面幅比: 0.048
      クロップ効率: 0.314
    吹き出し16: 069.png
      元サイズ: 1024x1024
      クロップ後: 507x872
      最終サイズ: 94x161
      配置位置: (1316,602)
      スケール値: 0.098
      画面幅比: 0.061
      クロップ効率: 0.422
    吹き出し17: 034.png
      元サイズ: 1024x1024
      クロップ後: 770x871
      最終サイズ: 135x152
      配置位置: (1178,849)
      スケール値: 0.115
      画面幅比: 0.088
      クロップ効率: 0.640

画像 003.png:
  背景ファイル: 003.png
  背景サイズ: 1536x1024
  配置した吹き出し数: 12
  合成成功数: 12
    吹き出し1: 049.png
      元サイズ: 1024x1024
      クロップ後: 662x862
      最終サイズ: 107x140
      配置位置: (584,166)
      スケール値: 0.098
      画面幅比: 0.070
      クロップ効率: 0.544
    吹き出し2: 072.png
      元サイズ: 1024x1024
      クロップ後: 612x734
      最終サイズ: 87x105
      配置位置: (1372,488)
      スケール値: 0.077
      画面幅比: 0.057
      クロップ効率: 0.428
    吹き出し3: 013.png
      元サイズ: 1024x1536
      クロップ後: 506x1326
      最終サイズ: 100x263
      配置位置: (289,369)
      スケール値: 0.130
      画面幅比: 0.065
      クロップ効率: 0.427
    吹き出し4: 040.png
      元サイズ: 1024x1024
      クロップ後: 887x933
      最終サイズ: 158x167
      配置位置: (1218,410)
      スケール値: 0.130
      画面幅比: 0.103
      クロップ効率: 0.789
    吹き出し5: 091.png
      元サイズ: 1024x1024
      クロップ後: 790x741
      最終サイズ: 91x85
      配置位置: (393,358)
      スケール値: 0.071
      画面幅比: 0.059
      クロップ効率: 0.558
    吹き出し6: 094.png
      元サイズ: 1024x1024
      クロップ後: 899x647
      最終サイズ: 153x110
      配置位置: (373,81)
      スケール値: 0.104
      画面幅比: 0.100
      クロップ効率: 0.555
    吹き出し7: 102.png
      元サイズ: 1024x1024
      クロップ後: 816x704
      最終サイズ: 142x122
      配置位置: (1211,199)
      スケール値: 0.105
      画面幅比: 0.092
      クロップ効率: 0.548
    吹き出し8: 085.png
      元サイズ: 1024x1024
      クロップ後: 430x850
      最終サイズ: 74x147
      配置位置: (873,212)
      スケール値: 0.084
      画面幅比: 0.048
      クロップ効率: 0.349
    吹き出し9: 065.png
      元サイズ: 1024x1024
      クロップ後: 644x797
      最終サイズ: 146x181
      配置位置: (196,700)
      スケール値: 0.130
      画面幅比: 0.095
      クロップ効率: 0.489
    吹き出し10: 076.png
      元サイズ: 1024x1024
      クロップ後: 730x779
      最終サイズ: 157x168
      配置位置: (631,474)
      スケール値: 0.130
      画面幅比: 0.102
      クロップ効率: 0.542
    吹き出し11: 031.png
      元サイズ: 1024x1536
      クロップ後: 643x1480
      最終サイズ: 77x178
      配置位置: (867,458)
      スケール値: 0.094
      画面幅比: 0.050
      クロップ効率: 0.605
    吹き出し12: 083.png
      元サイズ: 1024x1024
      クロップ後: 722x576
      最終サイズ: 141x112
      配置位置: (1360,761)
      スケール値: 0.101
      画面幅比: 0.092
      クロップ効率: 0.397

画像 004.png:
  背景ファイル: 004.png
  背景サイズ: 1536x1024
  配置した吹き出し数: 17
  合成成功数: 17
    吹き出し1: 077.png
      元サイズ: 1024x1024
      クロップ後: 549x903
      最終サイズ: 127x209
      配置位置: (521,368)
      スケール値: 0.130
      画面幅比: 0.083
      クロップ効率: 0.473
    吹き出し2: 082.png
      元サイズ: 1024x1024
      クロップ後: 369x853
      最終サイズ: 63x146
      配置位置: (935,434)
      スケール値: 0.077
      画面幅比: 0.041
      クロップ効率: 0.300
    吹き出し3: 068.png
      元サイズ: 1024x1024
      クロップ後: 407x927
      最終サイズ: 64x147
      配置位置: (396,643)
      スケール値: 0.078
      画面幅比: 0.042
      クロップ効率: 0.360
    吹き出し4: 059.png
      元サイズ: 1024x1024
      クロップ後: 466x842
      最終サイズ: 121x219
      配置位置: (602,518)
      スケール値: 0.130
      画面幅比: 0.079
      クロップ効率: 0.374
    吹き出し5: 056.png
      元サイズ: 1024x1024
      クロップ後: 771x485
      最終サイズ: 139x87
      配置位置: (1022,519)
      スケール値: 0.088
      画面幅比: 0.090
      クロップ効率: 0.357
    吹き出し6: 040.png
      元サイズ: 1024x1024
      クロップ後: 887x933
      最終サイズ: 88x93
      配置位置: (904,654)
      スケール値: 0.073
      画面幅比: 0.057
      クロップ効率: 0.789
    吹き出し7: 092.png
      元サイズ: 1024x1024
      クロップ後: 793x669
      最終サイズ: 144x121
      配置位置: (699,357)
      スケール値: 0.106
      画面幅比: 0.094
      クロップ効率: 0.506
    吹き出し8: 078.png
      元サイズ: 1024x1024
      クロップ後: 729x714
      最終サイズ: 113x110
      配置位置: (914,873)
      スケール値: 0.089
      画面幅比: 0.074
      クロップ効率: 0.496
    吹き出し9: 043.png
      元サイズ: 1024x1024
      クロップ後: 734x807
      最終サイズ: 131x144
      配置位置: (976,601)
      スケール値: 0.110
      画面幅比: 0.085
      クロップ効率: 0.565
    吹き出し10: 029.png
      元サイズ: 1024x1536
      クロップ後: 819x1391
      最終サイズ: 99x169
      配置位置: (982,85)
      スケール値: 0.104
      画面幅比: 0.064
      クロップ効率: 0.724
    吹き出し11: 090.png
      元サイズ: 1024x1024
      クロップ後: 792x902
      最終サイズ: 87x99
      配置位置: (1412,552)
      スケール値: 0.074
      画面幅比: 0.057
      クロップ効率: 0.681
    吹き出し12: 103.png
      元サイズ: 1024x1024
      クロップ後: 722x576
      最終サイズ: 169x135
      配置位置: (751,820)
      スケール値: 0.121
      画面幅比: 0.110
      クロップ効率: 0.397
    吹き出し13: 017.png
      元サイズ: 1024x1024
      クロップ後: 548x744
      最終サイズ: 99x135
      配置位置: (1155,67)
      スケール値: 0.092
      画面幅比: 0.064
